index_id,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_id,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k,industry_id,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,skill_category_id,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,net_jobs_change,job_creation_displacement_ratio,reskilling_spend_per_displaced_job
11,2024,4,2024-Q4,2024-10-01,f,t,3,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0,18,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,18.65,6.29,2.12,1249,870,329979.59,-1.22,4.6,64192,0.69,-379,0.69655724579663730985,264.1950280224179343
12,2021,3,2021-Q3,2021-07-01,t,f,27,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0,15,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,36.49,4.81,1.25,1228,1054,162493.01,0.91,3.7,130700,0.891,-174,0.85830618892508143322,132.3232980456026059
13,2022,3,2022-Q3,2022-07-01,f,f,3,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0,8,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,22.66,5.45,4.83,291,178,23095.68,-0.56,1.5,13359,0.953,-113,0.61168384879725085911,79.3665979381443299
14,2023,3,2023-Q3,2023-07-01,f,t,18,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0,18,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,40.59,6.74,3.52,2759,1760,2890603.45,2.5,11.5,130173,0.832,-999,0.63791228706052917724,1047.6996919173613628
15,2022,2,2022-Q2,2022-04-01,f,f,9,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0,20,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,6.08,6.83,6.37,1782,773,66086.85,5.71,0.0,56378,0.946,-1009,0.43378226711560044893,37.0857744107744108
16,2023,2,2023-Q2,2023-04-01,f,t,22,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0,4,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,16.96,0.0,3.11,17346,7244,180701.95,-5.52,5.5,662978,0.732,-10102,0.41761789461547330797,10.4174997117491064
17,2021,3,2021-Q3,2021-07-01,t,f,15,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0,5,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,30.57,8.76,2.26,280,83,612293.98,-0.49,7.6,12516,0.635,-197,0.29642857142857142857,2186.7642142857142857
18,2024,3,2024-Q3,2024-07-01,f,t,10,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0,5,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,44.33,2.37,5.47,740,403,35506.27,-6.09,3.6,19024,0.86,-337,0.54459459459459459459,47.9814459459459459
19,2022,2,2022-Q2,2022-04-01,f,f,19,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0,2,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,27.9,6.83,4.97,2949,2348,88148.45,0.12,0.0,70815,0.871,-601,0.79620210240759579518,29.8909630383180739
20,2023,3,2023-Q3,2023-07-01,f,t,30,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0,23,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,27.28,7.3,5.68,1616,830,126041.4,-5.02,6.3,29984,0.814,-786,0.51361386138613861386,77.9959158415841584
21,2022,4,2022-Q4,2022-10-01,f,t,25,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0,16,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,34.46,6.23,0.0,0,0,249874.84,10.49,2.4,9066,0.735,0,,
22,2022,2,2022-Q2,2022-04-01,f,f,30,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0,19,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,0.5,2.94,3.35,645,338,9823.66,3.82,0.5,19444,0.924,-307,0.52403100775193798450,15.2304806201550388
23,2021,1,2021-Q1,2021-01-01,t,f,14,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,0.5,6.58,2.13,820,608,34593.51,-4.27,5.0,48162,0.659,-212,0.74146341463414634146,42.1872073170731707
24,2023,1,2023-Q1,2023-01-01,f,t,14,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0,1,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,29.32,6.44,3.13,534,195,4287.18,8.75,15.4,22159,0.836,-339,0.36516853932584269663,8.0284269662921348
25,2021,4,2021-Q4,2021-10-01,t,f,17,SE,Sweden,Europe,Developed,35693008.03,70.1,Established,84.4,1609.0,23,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,26.11,6.55,1.21,1016,413,63670.54,0.86,4.7,84038,0.758,-603,0.40649606299212598425,62.6678543307086614
26,2022,2,2022-Q2,2022-04-01,f,f,11,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0,4,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,2.55,6.67,4.84,460,202,64800.64,-6.11,2.4,12799,0.776,-258,0.43913043478260869565,140.8709565217391304
27,2024,3,2024-Q3,2024-07-01,f,t,17,SE,Sweden,Europe,Developed,35693008.03,70.1,Established,84.4,1609.0,9,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,30.68,0.37,5.77,1480,546,292596.63,3.07,14.8,50354,0.859,-934,0.36891891891891891892,197.7004256756756757
28,2024,4,2024-Q4,2024-10-01,f,t,26,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0,12,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,30.7,4.63,3.24,1129,741,56828.55,2.91,5.6,93803,0.929,-388,0.65633303808680248007,50.3352967227635075
29,2021,2,2021-Q2,2021-04-01,t,f,2,GB,United Kingdom,Europe,Developed,17661249.01,79.5,Developing,84.8,1792.0,7,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,5.19,5.1,6.43,657,308,386128.58,-2.89,0.0,27063,0.779,-349,0.46879756468797564688,587.7147336377473364
30,2024,2,2024-Q2,2024-04-01,f,t,9,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0,3,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,37.83,5.08,1.77,59,44,26135.13,1.07,10.4,5562,0.799,-15,0.74576271186440677966,442.9683050847457627
31,2024,3,2024-Q3,2024-07-01,f,t,23,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0,9,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,22.04,3.26,5.1,661,196,141716.92,2.21,9.2,38945,0.988,-465,0.29652042360060514372,214.3977609682299546
32,2023,2,2023-Q2,2023-04-01,f,t,3,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0,15,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,11.96,5.7,6.06,7878,5838,30912.94,1.55,5.5,313989,0.499,-2040,0.74105102817974105103,3.9239578573241940
33,2022,2,2022-Q2,2022-04-01,f,f,23,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,26.95,6.39,6.7,2723,693,153741.64,-6.53,2.8,77842,0.559,-2030,0.25449871465295629820,56.4603892765332354
34,2024,3,2024-Q3,2024-07-01,f,t,25,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0,8,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,56.91,5.52,4.61,189,104,18152.29,1.27,6.2,9777,0.891,-85,0.55026455026455026455,96.0438624338624339
35,2023,1,2023-Q1,2023-01-01,f,t,3,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0,23,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,22.85,5.2,2.71,111,73,9674.8,0.95,10.0,8100,0.865,-38,0.65765765765765765766,87.1603603603603604
36,2022,3,2022-Q3,2022-07-01,f,f,6,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0,14,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,23.31,8.07,6.4,1960,967,130927.7,0.59,0.5,30987,0.895,-993,0.49336734693877551020,66.7998469387755102
37,2023,3,2023-Q3,2023-07-01,f,t,20,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0,10,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,41.82,3.22,3.24,5949,4990,21791.97,-8.02,0.0,203889,0.836,-959,0.83879643637586148933,3.6631316187594554
38,2024,1,2024-Q1,2024-01-01,f,t,20,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0,19,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,59.86,3.24,3.44,434,117,631422.74,9.77,5.3,14713,0.736,-317,0.26958525345622119816,1454.8911059907834101
39,2022,2,2022-Q2,2022-04-01,f,f,19,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0,10,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,62.5,7.2,2.79,3089,1628,321637.94,1.64,3.5,116168,0.772,-1461,0.52703140174813855617,104.1236451926189705
40,2021,4,2021-Q4,2021-10-01,t,f,1,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0,24,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,0.5,5.38,4.37,304,100,58161.16,-1.13,2.3,15800,0.752,-204,0.32894736842105263158,191.3196052631578947
41,2021,2,2021-Q2,2021-04-01,t,f,21,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0,13,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,17.83,5.06,3.99,1305,1160,23284.98,-3.77,0.0,35116,0.879,-145,0.88888888888888888889,17.8428965517241379
42,2023,2,2023-Q2,2023-04-01,f,t,25,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0,22,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,30.19,4.68,4.28,957,582,32176.34,3.65,1.1,24981,0.856,-375,0.60815047021943573668,33.6220898641588297
43,2021,2,2021-Q2,2021-04-01,t,f,19,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0,24,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,14.84,2.95,4.34,184,90,203263.15,-1.3,6.0,9981,0.941,-94,0.48913043478260869565,1104.6910326086956522
44,2021,4,2021-Q4,2021-10-01,t,f,22,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0,7,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,3,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,13.55,3.77,4.44,537,291,79170.91,3.36,1.7,18292,0.773,-246,0.54189944134078212291,147.4318621973929236
45,2021,3,2021-Q3,2021-07-01,t,f,26,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0,24,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,26.25,3.2,4.02,1731,1457,312485.13,3.71,,112234,0.799,-274,0.84170999422299248989,180.5228942807625650
46,2023,4,2023-Q4,2023-10-01,f,t,5,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,13.87,6.4,5.16,155,68,52615.23,11.59,6.5,9000,0.828,-87,0.43870967741935483871,339.4530967741935484
47,2021,1,2021-Q1,2021-01-01,t,f,9,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0,16,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,0.5,4.99,2.72,1167,357,85988.04,2.5,4.7,110109,0.596,-810,0.30591259640102827763,73.6829820051413882
48,2022,4,2022-Q4,2022-10-01,f,t,20,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0,15,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,44.49,2.44,4.66,3649,832,15905.98,2.99,5.4,87789,0.593,-2817,0.22800767333516031790,4.3589969854754727
49,2022,3,2022-Q3,2022-07-01,f,f,23,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0,19,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,22.94,7.03,4.44,1120,731,38251.08,-0.37,4.7,42485,0.74,-389,0.65267857142857142857,34.1527500000000000
50,2021,1,2021-Q1,2021-01-01,t,f,22,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0,17,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,3,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,0.71,8.38,3.2,75,50,105643.48,0.27,1.3,4983,0.819,-25,0.66666666666666666667,1408.5797333333333333
51,2023,4,2023-Q4,2023-10-01,f,t,29,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0,14,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,5,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,32.9,1.14,4.27,808,713,128490.15,-0.75,8.2,36114,0.657,-95,0.88242574257425742574,159.0224628712871287
52,2024,2,2024-Q2,2024-04-01,f,t,6,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0,24,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,7,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,24.63,7.45,5.6,1226,454,49071.74,3.94,3.2,41040,0.863,-772,0.37030995106035889070,40.0258890701468189
53,2022,4,2022-Q4,2022-10-01,f,t,4,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0,13,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,58.61,5.8,5.02,1492,726,653609.42,-0.55,10.5,41857,0.905,-766,0.48659517426273458445,438.0760187667560322
54,2021,3,2021-Q3,2021-07-01,t,f,5,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0,21,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,15.24,3.27,3.74,87,26,548376.38,14.14,0.4,5370,0.893,-61,0.29885057471264367816,6303.1767816091954023
55,2024,3,2024-Q3,2024-07-01,f,t,8,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0,7,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,4,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,32.28,2.7,1.11,527,309,99813.36,5.08,7.1,79530,0.791,-218,0.58633776091081593928,189.3991650853889943
56,2024,4,2024-Q4,2024-10-01,f,t,21,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0,19,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,55.39,7.76,5.43,3114,1393,245472.48,-4.6,3.7,74459,0.729,-1721,0.44733461785484906872,78.8286705202312139
57,2024,3,2024-Q3,2024-07-01,f,t,6,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0,13,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,39.43,5.66,6.47,1025,253,177267.02,1.51,3.9,23540,0.84,-772,0.24682926829268292683,172.9434341463414634
58,2021,3,2021-Q3,2021-07-01,t,f,11,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0,5,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,1,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,0.5,3.71,3.67,213,101,527011.43,1.78,2.6,15946,0.597,-112,0.47417840375586854460,2474.2320657276995305
59,2021,4,2021-Q4,2021-10-01,t,f,13,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0,6,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,6,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,18.2,6.88,5.15,498,386,125401.41,5.83,3.5,22900,0.774,-112,0.77510040160642570281,251.8100602409638554
60,2024,2,2024-Q2,2024-04-01,f,t,29,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0,25,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,8,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,18.15,3.13,3.47,756,450,32238.15,12.56,12.8,26754,0.919,-306,0.59523809523809523810,42.6430555555555556
